ZorgproductOmschrijving;Tarief
Ziekenhuisopname met meer dan 28 verpleegdagen bij een gezwel van de evenwichtszenuw;13989,1
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of dagbehandeling bij een gezwel van de evenwichtszenuw;445,34
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een gezwel van de evenwichtszenuw;129,91
Ziekenhuisopname met maximaal 5 verpleegdagen bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;3024,47
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;8285,62
Ziekenhuisopname met meer dan 28 verpleegdagen bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;24926,47
Dagbehandeling bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;1180,31
Teambehandeling neurologie bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;656,25
Klinisch neurofysiologisch onderzoek bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;811,56
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand bij goedaardig en/of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;675,12
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij goedaardig en/of kwaadaardig gezwel van hersenvliezen/zenuwstelsel/ in de hersenen;640,45
1 of 2 polikliniekbezoeken/ consultaties op afstand bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;327,69
1 of 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;202,82
Behandeling bij uitzaaiingen met hormonen, tijdens een ziekenhuisopname bij kanker van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;4101,23
Behandeling met hormonen bij uitzaaiingen bij kanker van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;1486,47
Behandeling, tijdens een ziekenhuisopname met hormonen bij niet uitgezaaide tumoren bij kanker van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;3515,11
Behandeling met hormonen bij niet uitgezaaide tumoren bij kanker van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;999,28
Zeer ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;17912,35
Zeer ingewikkelde en langdurige operatie aan de wervelkolom bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;9329,33
Ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;13721,64
Ingewikkelde en langdurige operatie aan de wervelkolom bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;7950,5
Ingewikkelde operatie aan de wervelkolom tijdens een ziekenhuisopname bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;8546,99
Ingewikkelde operatie aan de wervelkolom bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;6005,72
Behandeling van een vaatafwijking in het hoofd bij kanker van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;25907,29
Operatie aan de wervelkolom tijdens een ziekenhuisopname bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;7628,04
Operatie aan de wervelkolom bij goedaardig of kwaadaardig gezwel van de hersenvliezen/ van het zenuwstelsel/ in de hersenen;3651,69
Maximaal 5 dagbehandelingen en/of verpleegdagen bij een goedaardig gezwel van de huid;2376,4
Een operatie huid en/of weke delen en/of bot bij een goedaardig gezwel van de huid;1372,29
Meer dan een operatie huid en/of weke delen en/of bot bij een goedaardig gezwel van de huid;4637,55
Lasertherapie bij een goedaardig gezwel van de huid;293,61
Enkelvoudige ingreep aan de huid bij een goedaardig gezwel van de huid;498,27
Meervoudige ingreep aan de huid bij een goedaardig gezwel van de huid;1233,55
Meer dan 28 dagbehandelingen en/of verpleegdagen bij een goedaardig gezwel van de huid;8845,46
6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij een goedaardig gezwel van de huid;6461,66
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of maximaal 2 dagbehandelingen bij een goedaardig gezwel van de huid;342,99
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een goedaardig gezwel van de huid;122,89
Uitgebreide operatie neus en/of neusbijholten bij een goedaardig of kwaadaardig gezwel;5876,93
Onderzoek(en) en/of behandeling(en) bij een goedaardig of kwaadaardig gezwel;641,11
Ziekenhuisopname met maximaal 5 verpleegdagen bij een goedaardig of kwaadaardig gezwel;2680,88
Uitgebreide operatie bot en/of weke delen bij een goedaardig of kwaadaardig gezwel;6186,08
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij een goedaardig of kwaadaardig gezwel;459,24
Ziekenhuisopname met meer dan 28 verpleegdagen bij een goedaardig of kwaadaardig gezwel;11210,47
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een goedaardig of kwaadaardig gezwel;7504,93
Operatie neus en/of neusbijholten bij een goedaardig of kwaadaardig gezwel;3842,2
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een goedaardig of kwaadaardig gezwel;148,68
Een operatie huid en/of weke delen bij een goedaardig of kwaadaardig gezwel;6086,89
Een operatie bot en/of gewricht bij een goedaardig of kwaadaardig gezwel;2558,97
Zeer ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij een goedaardig of kwaadaardig gezwel;12255,52
Zeer ingewikkelde en langdurige operatie aan de wervelkolom bij een goedaardig of kwaadaardig gezwel;8193,64
Ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij een goedaardig of kwaadaardig gezwel;9954,48
Ingewikkelde en langdurige operatie aan de wervelkolom bij een goedaardig of kwaadaardig gezwel;7861,03
Ingewikkelde operatie aan de wervelkolom tijdens een ziekenhuisopname bij een goedaardig of kwaadaardig gezwel;8421,64
Ingewikkelde operatie aan de wervelkolom bij een goedaardig of kwaadaardig gezwel;6118,72
Operatie aan de wervelkolom tijdens een ziekenhuisopname bij een goedaardig of kwaadaardig gezwel;7839,83
Operatie aan de wervelkolom bij een goedaardig of kwaadaardig gezwel;2311,45
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij een ziekte van bloed of immuunsysteem;4266,12
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij een ziekte van bloed of immuunsysteem;20117,74
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij een ziekte van bloed of immuunsysteem;5790,58
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij een ziekte van bloed of immuunsysteem;25085,92
Toediening van medicijnen die de afweer versterken bij bloeduitstorting(en) als gevolg van ziekte van bloed of immuunsysteem;1414,61
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;6031,78
Onderzoek(en) en/of behandeling(en) bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;1865,47
Ziekenhuisopname met maximaal 5 verpleegdagen bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;3190,58
Dagbehandeling(en) en/of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;1145,89
Ziekenhuisopname met meer dan 28 verpleegdagen bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;20767,52
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;7895,1
Meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;824,62
1 of 2 polikliniekbezoeken/ consultaties op afstand bij bloeduitstortingen in de huid als gevolg van ziekte van bloed of immuunsysteem;326,67
Ziekenhuisopname met maximaal 5 verpleegdagen bij een ziekte van bloed of immuunsysteem;2395,78
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een ziekte van bloed of immuunsysteem;10874,32
Ziekenhuisopname met meer dan 28 verpleegdagen bij een ziekte van bloed of immuunsysteem;15148,92
Terugkerende verstrekking geneesmiddelen bij een ziekte van bloed of immuunsysteem;494,23
Meer dan 6 polikliniekbezoeken/ consultaties op afstand of meer dan 1 dagbehandeling met hematologische activiteiten bij een ziekte van bloed of immuunsysteem;2799,05
Meer dan 6 polikliniekbezoeken/ consultaties op afstand of meer dan 1 dagbehandeling bij een ziekte van bloed of immuunsysteem;4281,67
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of 1 dagbehandeling met hematologische activiteiten bij een ziekte van bloed of immuunsysteem;4921,65
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of 1 dagbehandeling bij een ziekte van bloed of immuunsysteem;2859,2
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een ziekte van bloed of immuunsysteem;1296,47
Onderzoek(en) en/of behandeling(en) bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;1099,37
Maximaal 2 dagbehandelingen en/of verpleegdagen bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;1863,09
Toediening van medicijnen die de afweer versterken bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door nierfalen;4030,61
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);5953,02
Meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;948,36
3 tot maximaal 10 dagbehandelingen en/of verpleegdagen bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;6134,19
Onderzoek(en) en/of behandeling(en) bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);5641,23
Ziekenhuisopname met maximaal 5 verpleegdagen bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);5584,66
1 of 2 polikliniekbezoeken/ consultaties op afstand bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;300,74
Meer dan 20 dagbehandelingen en/of verpleegdagen bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;29497,91
11 tot maximaal 20 dagbehandelingen en/of verpleegdagen bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;15325,21
Dagbehandeling(en) en/of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);3014,33
Ziekenhuisopname met meer dan 28 verpleegdagen bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);15762,75
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);12194,17
Meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);895,41
1 of 2 polikliniekbezoeken/ consultaties op afstand bij afbraak van rode bloedcellen met ophoping van afvalstoffen in het bloed door falen van de nieren (HUS);319,91
Verstrekking van chemotherapie en/of medicijnen die de afweer versterken tijdens een Ziekenhuisopname bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;35692,54
Verstrekking van chemotherapie en/of medicijnen die de afweer versterken bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;4089,39
Begeleiding bij chemotherapie en/of medicijnen die de afweer versterken tijdens een Ziekenhuisopname bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;22629,98
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij bloedarmoede of een andere ziekte van bloed of bloedvormende organen;2437,85
Onderzoek(en) en/of behandeling(en) bij diabetes (suikerziekte);732,26
Ziekenhuisopname met meer dan 28 verpleegdagen bij diabetes (suikerziekte);25791,94
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij diabetes (suikerziekte);6597,3
Dagbehandeling(en) en/of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij diabetes (suikerziekte);525,11
Insulinepomptherapie met onderzoek(en) en/of behandeling(en) bij diabetes (suikerziekte);1130,53
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij diabetes (suikerziekte);560,39
Insulinepomptherapie, dagbehandeling(en) en of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij diabetes (suikerziekte);1193,73
1 of 2 polikliniekbezoeken/ consultaties op afstand bij diabetes (suikerziekte);228,87
Insulinepomptherapie met 3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij diabetes (suikerziekte);776
Insulinepomptherapie met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij diabetes (suikerziekte);333,27
Ziekenhuisopname met maximaal 5 verpleegdagen bij diabetes (suikerziekte);2701,33
Insulinepomptherapie, bijvullen pomp bij diabetes (suikerziekte);7237,3
Insulinepomptherapie, plaatsen sensor (RT-CGM) bij diabetes (suikerziekte);615,5
Onderzoek(en) en/of behandeling(en) bij gynaecologie bij een ziekte van een hormoonafgevende klier;553,63
Operatieve ingreep bij een ziekte van een hormoonafgevende klier;5886,73
Onderzoek(en) en/of behandeling(en) bij een ziekte van een hormoonafgevende klier;947,79
Ziekenhuisopname met maximaal 5 verpleegdagen bij een ziekte van een hormoonafgevende klier;3437,21
Ziekenhuisopname(s) en/of dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij een ziekte van een hormoonafgevende klier;1050,79
Meer dan 2 dagbehandelingen bij een ziekte van een hormoonafgevende klier overig;2451
Ziekenhuisopname met maximaal 5 verpleegdagen bij een ziekte van een hormoonafgevende klier overig;2318,87
Meer dan 2 dagbehandelingen bij verminderde functie van de bijschildklier;2835,24
Ziekenhuisopname met maximaal 5 verpleegdagen bij verminderde functie van de bijschildklier;3005,66
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij een ziekte van hormoonafgevende klieren/ organen;819,54
Ziekenhuisopname met meer dan 28 verpleegdagen bij een ziekte van hormoonafgevende klieren/ organen;28640,34
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een ziekte van hormoonafgevende klieren/ organen;9255,06
1 of 2 polikliniekbezoeken/ consultaties op afstand gynaecologie bij een ziekte van hormoonafgevende klieren/ organen;253,64
Onderzoek(en) en/of behandeling(en) bij een ziekte van hormoonafgevende klieren/ organen overig;709,72
Ziekenhuisopname met meer dan 28 verpleegdagen bij een ziekte van hormoonafgevende klieren/ organen overig;29798,51
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een ziekte van hormoonafgevende klieren/ organen overig;8399,46
Onderzoek(en) en/of behandeling(en) bij verminderde functie van de bijschildklier;660,34
Ziekenhuisopname met meer dan 28 verpleegdagen bij verminderde functie van de bijschildklier;16041,97
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij verminderde functie van de bijschildklier;9437,59
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een ziekte van hormoonafgevende klieren/ organen;240,07
1 tot 2 dagbehandelingen of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij een ziekte van een hormoonafgevende klier overig;874,95
1 tot 2 dagbehandelingen of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij verminderde functie van de bijschildklier;685,08
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij een ziekte van een hormoonafgevende klier overig;522,18
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij verminderde functie van de bijschildklier;643,85
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een ziekte van een hormoonafgevende klier overig;238,95
1 of 2 polikliniekbezoeken/ consultaties op afstand bij verminderde functie van de bijschildklier;183,2
Onderzoek(en) en/of behandeling(en) bij taaislijmziekte;3151,03
Ziekenhuisopname met maximaal 5 verpleegdagen bij taaislijmziekte;4410,15
Meer dan 2 dagbehandelingen bij een ziekte van de stofwisseling;5244,72
Ziekenhuisopname met maximaal 5 verpleegdagen bij een ziekte van de stofwisseling;2408,03
Therapeutische behandeling bij ijzerstapeling of een stofwisselingsziekte van de lever;1204,33
Ziekenhuisopname met maximaal 5 verpleegdagen bij ijzerstapeling of een stofwisselingsziekte van de lever;3711,81
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij taaislijmziekte;1839,51
Ziekenhuisopname met meer dan 28 verpleegdagen bij taaislijmziekte;53008,63
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij taaislijmziekte;11233,42
Onderzoek(en) en/of behandeling(en) bij een ziekte van de stofwisseling;740,65
Ziekenhuisopname met meer dan 28 verpleegdagen bij een ziekte van de stofwisseling;24466,9
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een ziekte van de stofwisseling;7511,33
Meer dan 2 dagbehandelingen bij ijzerstapeling of een stofwisselingsziekte van de lever;3891,41
Ziekenhuisopname met meer dan 28 verpleegdagen bij ijzerstapeling of een stofwisselingsziekte van de lever;26989,49
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij ijzerstapeling of een stofwisselingsziekte van de lever;7174,4
1 of 2 polikliniekbezoeken/ consultaties op afstand bij taaislijmziekte;417,26
1 tot 2 dagbehandelingen of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij een ziekte van de stofwisseling;669,41
Onderzoek(en) en/of behandeling(en) bij ijzerstapeling of een stofwisselingsziekte van de lever;618,07
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij een ziekte van de stofwisseling;497,45
1 tot 2 dagbehandelingen of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij ijzerstapeling of een stofwisselingsziekte van de lever;1004,76
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een ziekte van de stofwisseling;234,06
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij ijzerstapeling of een stofwisselingsziekte van de lever;690,87
1 of 2 polikliniekbezoeken/ consultaties op afstand bij ijzerstapeling of een stofwisselingsziekte van de lever;454,88
Jodiumtherapie met maximaal 2 verpleegdagen bij een ziekte van de schildklier;2384,71
Jodiumtherapie tijdens een ziekenhuisopname van meer dan 2 verpleegdagen bij een ziekte van de schildklier;3846,2
Operatie aan de schildklier bij een ziekte van de schildklier;2681,23
Operatie aan de schildklier tijdens een ziekenhuisopname bij een ziekte van de schildklier;5228,36
Ziekenhuisopname met maximaal 5 verpleegdagen bij een ziekte van de schildklier;2250,16
Dagbehandeling(en) en/of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij een ziekte van de schildklier;766,64
Onderzoek(en) en/of behandeling(en) bij een ziekte van de schildklier;762,8
Onderzoek(en) en/of behandeling(en) bij een te snel werkende schildklier;792,74
Ziekenhuisopname met meer dan 28 verpleegdagen bij een ziekte van de schildklier;11147,08
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een ziekte van de schildklier;6482,75
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij een ziekte van de schildklier;563,21
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een ziekte van de schildklier;217,29
Onderzoek of behandeling van het maagdarmkanaal bij vetzucht of ondervoeding;986,3
Ziekenhuisopname met maximaal 5 verpleegdagen bij vetzucht of ondervoeding;2464,61
Onderzoek(en) en/of behandeling(en) bij vetzucht of ondervoeding;1071,86
Ziekenhuisopname met meer dan 28 verpleegdagen bij vetzucht of ondervoeding;25813,39
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij vetzucht of ondervoeding;8757,87
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij vetzucht of ondervoeding;843,63
1 of 2 polikliniekbezoeken/ consultaties op afstand bij vetzucht of ondervoeding;274,39
Maagverkleining open operatie bij vetzucht;8222,06
Operatie aan het uitwendige deel van het vrouwelijke geslachtsorgaan bij een seksuologische aandoening;1283
Seksuologische behandeling bij een seksuologische aandoening;375,2
Ziekenhuisopname met maximaal 5 verpleegdagen bij een seksuologische aandoening;1706,05
Gynaecologisch onderzoek bij een seksuologische aandoening;1739,64
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of dagbehandeling bij een seksuologische aandoening;486,61
Ziekenhuisopname met meer dan 28 verpleegdagen bij een seksuologische aandoening;13854,54
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een seksuologische aandoening;5302,11
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een seksuologische aandoening;213,18
Ziekenhuisopname met maximaal 5 verpleegdagen bij dementie;2184,04
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij dementie;8745,78
Ziekenhuisopname met meer dan 28 verpleegdagen bij dementie;23185,8
Dagbehandeling met klinisch neurofysiologisch onderzoek bij dementie;1679,34
Dagbehandeling bij dementie;1116,08
Teambehandeling met klinisch neurofysiologisch onderzoek bij dementie;1183,83
Teambehandeling bij dementie;373,32
Klinisch neurofysiologisch onderzoek bij dementie;999,04
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand bij dementie;628,63
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij dementie;602,5
1 of 2 polikliniekbezoeken/ consultaties op afstand bij dementie;292,51
1 of 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij dementie;185,5
Ziekenhuisopname met maximaal 5 verpleegdagen bij verslaving;2776,46
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij verslaving;6091,48
Ziekenhuisopname met meer dan 28 verpleegdagen bij verslaving;19066,44
Onderzoek(en) en/of behandeling(en) bij verslaving;650,82
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij verslaving;395
1 of 2 polikliniekbezoeken/ consultaties op afstand bij verslaving;245,41
Ziekenhuisopname met maximaal 5 verpleegdagen bij psychische klachten;2188,65
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij psychische klachten;7196,44
Ziekenhuisopname met meer dan 28 verpleegdagen bij psychische klachten;20792,32
Dagbehandeling met klinisch neurofysiologisch onderzoek bij psychische klachten;1499,92
Dagbehandeling bij psychische klachten;958,78
Teambehandeling met klinisch neurofysiologisch onderzoek bij psychische klachten;684,42
Teambehandeling bij psychische klachten;322,01
Klinisch neurofysiologisch onderzoek bij psychische klachten;870,34
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand bij psychische klachten;605,83
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij psychische klachten;512,62
1 of 2 polikliniekbezoeken/ consultaties op afstand bij psychische klachten;315,62
1 of 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij psychische klachten;192,54
Operatie bij een geslachtsidentiteitsstoornis;2103,52
Diagnostische fase bij een geslachtsidentiteitsstoornis;434,93
Intake fase bij een geslachtsidentiteitsstoornis;290,84
Polikliniekbezoek(en)/ consultatie(s) op afstand bij een geslachtsidentiteitsstoornis;320,49
Ziekenhuisopname met maximaal 5 verpleegdagen bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;2499,35
instellen van de behandeling met een apomorfinepomp bij de ziekte van Parkinson;1145,95
Ziekenhuisopname met maximaal 5 verpleegdagen bij de ziekte van Parkinson;2614,73
Dagbehandeling bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;1266,92
Injectie(s) met botuline toxine (Botox) in spieren of in de huid tijdens vervolgcontact bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;489,79
Injectie(s) met botuline toxine (Botox) in spieren of in de huid bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;542,63
Ziekenhuisopname met meer dan 28 verpleegdagen bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;27659,07
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;7380,24
Dagbehandeling bij de ziekte van Parkinson;1136,67
Ziekenhuisopname met meer dan 28 verpleegdagen bij de ziekte van Parkinson;23138,16
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij de ziekte van Parkinson;7308,09
Teambehandeling bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;478,38
Teambehandeling bij de ziekte van Parkinson;441,36
Klinisch neurofysiologisch onderzoek bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;801,07
Klinisch neurofysiologisch onderzoek bij de ziekte van Parkinson;1044,4
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij een stoornis in houding en/en/of beweging door een ziekte van het zenuwstelsel;549,39
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand bij een stoornis in houding en/en/of beweging door een ziekte van het zenuwstelsel;937,44
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij de ziekte van Parkinson;787,33
Diagnostiek/ ingreep en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand bij de ziekte van Parkinson;821,43
1 of 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;201,55
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een stoornis in houding en/of beweging door een ziekte van het zenuwstelsel;285,25
1 of 2 polikliniekbezoeken/ consultaties op afstand tijdens vervolgcontact bij de ziekte van Parkinson;208,9
1 of 2 polikliniekbezoeken/ consultaties op afstand bij de ziekte van Parkinson;387,77
Operatieve ingreep bij Een slaapstoornis;2205,55
Begeleiding bij het gebruik van slaapapneu-apparatuur bij een slaapstoornis;670,37
Begeleiding bij het gebruik van slaapapneu-apparatuur met klinisch neurofysiologisch onderzoek bij een slaapstoornis;1451,69
ademhalingsregistratie onderzoek bij een slaapstoornis;1065,14
slaapademhalingsregistratie onderzoek bij een slaapstoornis;1523,7
Teambehandeling bij een slaapstoornis;537
Ziekenhuisopname met maximaal 5 verpleegdagen bij een slaapstoornis;1147,75
ziekenhuisopname met meer dan 28 verpleegdagen bij een slaapstoornis;11199,91
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een slaapstoornis;7434,4
Meer dan 2 onderzoeken bij een slaapstoornis;315,67
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of dagbehandeling bij een slaapstoornis;715,82
